season,date,season.week,total.cases
2006,6/10/2006,23,82
2006,6/17/2006,24,84
2006,6/24/2006,25,84
2006,7/1/2006,26,92
2006,7/8/2006,27,103
2006,7/15/2006,28,98
2006,7/22/2006,29,98
2006,7/29/2006,30,69
2006,8/5/2006,31,74
2006,8/12/2006,32,79
2006,8/19/2006,33,72
2006,8/26/2006,34,74
2006,9/2/2006,35,57
2006,9/9/2006,36,56
2006,9/16/2006,37,56
2006,9/23/2006,38,53
2006,9/30/2006,39,55
2006,10/7/2006,40,51
2006,10/14/2006,41,47
2006,10/21/2006,42,42
2006,10/28/2006,43,36
2006,11/4/2006,44,46
2006,11/11/2006,45,40
2006,11/18/2006,46,45
2006,11/25/2006,47,41
2006,12/2/2006,48,41
2006,12/9/2006,49,43
2006,12/16/2006,50,55
2006,12/23/2006,51,45
2006,12/30/2006,52,45
2007,1/6/2007,1,58
2007,1/13/2007,2,62
2007,1/20/2007,3,48
2007,1/27/2007,4,54
2007,2/3/2007,5,55
2007,2/10/2007,6,34
2007,2/17/2007,7,55
2007,2/24/2007,8,49
2007,3/3/2007,9,58
2007,3/10/2007,10,68
2007,3/17/2007,11,44
2007,3/24/2007,12,87
2007,3/31/2007,13,62
2007,4/7/2007,14,86
2007,4/14/2007,15,126
2007,4/21/2007,16,97
2007,4/28/2007,17,125
2007,5/5/2007,18,108
2007,5/12/2007,19,178
2007,5/19/2007,20,198
2007,5/26/2007,21,254
2007,6/2/2007,22,225
2007,6/9/2007,23,285
2007,6/16/2007,24,389
2007,6/23/2007,25,339
2007,6/30/2007,26,371
2007,7/7/2007,27,426
2007,7/14/2007,28,472
2007,7/21/2007,29,486
2007,7/28/2007,30,311
2007,8/4/2007,31,302
2007,8/11/2007,32,243
2007,8/18/2007,33,237
2007,8/25/2007,34,238
2007,9/1/2007,35,192
2007,9/8/2007,36,207
2007,9/15/2007,37,194
2007,9/22/2007,38,193
2007,9/29/2007,39,182
2007,10/6/2007,40,171
2007,10/13/2007,41,154
2007,10/20/2007,42,123
2007,10/27/2007,43,143
2007,11/3/2007,44,116
2007,11/10/2007,45,108
2007,11/17/2007,46,127
2007,11/24/2007,47,137
2007,12/1/2007,48,144
2007,12/8/2007,49,130
2007,12/15/2007,50,126
2007,12/22/2007,51,97
2007,12/29/2007,52,119
2008,1/5/2008,1,115
2008,1/12/2008,2,119
2008,1/19/2008,3,102
2008,1/26/2008,4,129
2008,2/2/2008,5,107
2008,2/9/2008,6,68
2008,2/16/2008,7,104
2008,2/23/2008,8,108
2008,3/1/2008,9,84
2008,3/8/2008,10,71
2008,3/15/2008,11,74
2008,3/22/2008,12,65
2008,3/29/2008,13,84
2008,4/5/2008,14,76
2008,4/12/2008,15,96
2008,4/19/2008,16,105
2008,4/26/2008,17,86
2008,5/3/2008,18,114
2008,5/10/2008,19,108
2008,5/17/2008,20,143
2008,5/24/2008,21,132
2008,5/31/2008,22,143
2008,6/7/2008,23,174
2008,6/14/2008,24,165
2008,6/21/2008,25,155
2008,6/28/2008,26,132
2008,7/5/2008,27,157
2008,7/12/2008,28,126
2008,7/19/2008,29,126
2008,7/26/2008,30,119
2008,8/2/2008,31,148
2008,8/9/2008,32,151
2008,8/16/2008,33,133
2008,8/23/2008,34,160
2008,8/30/2008,35,150
2008,9/6/2008,36,138
2008,9/13/2008,37,115
2008,9/20/2008,38,128
2008,9/27/2008,39,140
2008,10/4/2008,40,138
2008,10/11/2008,41,178
2008,10/18/2008,42,160
2008,10/25/2008,43,174
2008,11/1/2008,44,135
2008,11/8/2008,45,150
2008,11/15/2008,46,152
2008,11/22/2008,47,133
2008,11/29/2008,48,151
2008,12/6/2008,49,154
2008,12/13/2008,50,183
2008,12/20/2008,51,223
2008,12/27/2008,52,187
2008,1/3/2009,53,194
2009,1/10/2009,1,236
2009,1/17/2009,2,142
2009,1/24/2009,3,126
2009,1/31/2009,4,116
2009,2/7/2009,5,121
2009,2/14/2009,6,134
2009,2/21/2009,7,124
2009,2/28/2009,8,113
2009,3/7/2009,9,87
2009,3/14/2009,10,72
2009,3/21/2009,11,83
2009,3/28/2009,12,79
2009,4/4/2009,13,86
2009,4/11/2009,14,93
2009,4/18/2009,15,104
2009,4/25/2009,16,107
2009,5/2/2009,17,79
2009,5/9/2009,18,93
2009,5/16/2009,19,84
2009,5/23/2009,20,114
2009,5/30/2009,21,121
2009,6/6/2009,22,80
2009,6/13/2009,23,104
2009,6/20/2009,24,98
2009,6/27/2009,25,105
2009,7/4/2009,26,76
2009,7/11/2009,27,58
2009,7/18/2009,28,71
2009,7/25/2009,29,63
2009,8/1/2009,30,64
2009,8/8/2009,31,80
2009,8/15/2009,32,68
2009,8/22/2009,33,71
2009,8/29/2009,34,78
2009,9/5/2009,35,54
2009,9/12/2009,36,44
2009,9/19/2009,37,55
2009,9/26/2009,38,59
2009,10/3/2009,39,55
2009,10/10/2009,40,73
2009,10/17/2009,41,54
2009,10/24/2009,42,73
2009,10/31/2009,43,79
2009,11/7/2009,44,75
2009,11/14/2009,45,76
2009,11/21/2009,46,72
2009,11/28/2009,47,45
2009,12/5/2009,48,64
2009,12/12/2009,49,62
2009,12/19/2009,50,71
2009,12/26/2009,51,72
2009,1/2/2010,52,68
2010,1/9/2010,1,94
2010,1/16/2010,2,78
2010,1/23/2010,3,75
2010,1/30/2010,4,131
2010,2/6/2010,5,95
2010,2/13/2010,6,111
2010,2/20/2010,7,52
2010,2/27/2010,8,92
2010,3/6/2010,9,86
2010,3/13/2010,10,80
2010,3/20/2010,11,79
